"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
200.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532279	0.9456707	0.8022115	0.7116890	1.0000000	0.3250331	0.5193084	0.1891047	0.2607570	0.4305765	0.2169211	0.3493648	0.8217112	0.4277600	0.7588270	0.0012454	0.2592544	0.2148496	0.7802319	0.6376213	0.8401000	0.9527891	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096341	0.2742848	0.1661273	0.9443918	0.0405702	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782207	0.8511747	0.8629350	0.2025220	0.9796721	0.6830860	0.8142233	0.9970993	0.6275554	0.1249261	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950670	0.6621141	0.3170338	0.8455700	0.0578326	0.0899956	0.4116436	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246809	0.0728100	0.9261343	0.7425954	0.4341659	0.5009224	0.6215913	0.4174520	1.0000000	0.0693214	0.8415337	0.9831132	0.1049311	0.9997402	0.0753550	0.9999987	1.0000000	1.0000000	0.0951369	0.7053547	0.1240130	0.7779653	0.8161727	1.0000000	0.0411406	0.8755837
250.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532279	0.9456707	0.8022115	0.7116889	1.0000000	0.3250331	0.5193084	0.1891047	0.2607571	0.4305765	0.2169211	0.3493648	0.8217112	0.4277599	0.7588269	0.0002592	0.2592544	0.2148498	0.7802321	0.6376211	0.8401001	0.9527896	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096341	0.2742848	0.1661276	0.9443918	0.0405695	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782206	0.8511747	0.8629349	0.2025220	0.9796720	0.6830860	0.8142230	0.9970993	0.6275559	0.1249262	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950663	0.6621141	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246804	0.0728100	0.9261342	0.7425961	0.4341659	0.5009228	0.6215914	0.4174521	1.0000000	0.0693214	0.8415334	0.9831131	0.1049299	0.9997402	0.0753530	0.9999987	1.0000000	1.0000000	0.0951368	0.7053548	0.1240130	0.7779654	0.8161729	1.0000000	0.0411406	0.8755837
300.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532278	0.9456707	0.8022115	0.7116888	1.0000000	0.3250331	0.5193084	0.1891047	0.2607571	0.4305766	0.2169211	0.3493648	0.8217112	0.4277599	0.7588268	0.0000539	0.2592544	0.2148499	0.7802322	0.6376210	0.8401002	0.9527899	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661278	0.9443918	0.0405691	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782205	0.8511747	0.8629349	0.2025220	0.9796720	0.6830859	0.8142229	0.9970993	0.6275562	0.1249262	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950659	0.6621141	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246800	0.0728100	0.9261342	0.7425966	0.4341659	0.5009231	0.6215914	0.4174521	1.0000000	0.0693214	0.8415332	0.9831130	0.1049293	0.9997402	0.0753519	0.9999987	1.0000000	1.0000000	0.0951368	0.7053548	0.1240130	0.7779654	0.8161730	1.0000000	0.0411406	0.8755837
350.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532278	0.9456707	0.8022115	0.7116888	1.0000000	0.3250331	0.5193084	0.1891047	0.2607571	0.4305766	0.2169211	0.3493648	0.8217112	0.4277599	0.7588268	0.0000112	0.2592544	0.2148499	0.7802323	0.6376209	0.8401002	0.9527901	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661280	0.9443919	0.0405689	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782205	0.8511747	0.8629349	0.2025221	0.9796720	0.6830859	0.8142228	0.9970993	0.6275564	0.1249262	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950657	0.6621141	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246799	0.0728100	0.9261342	0.7425969	0.4341659	0.5009232	0.6215914	0.4174521	1.0000000	0.0693214	0.8415331	0.9831130	0.1049289	0.9997402	0.0753512	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161731	1.0000000	0.0411406	0.8755837
400.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607571	0.4305766	0.2169211	0.3493648	0.8217112	0.4277599	0.7588268	0.0000023	0.2592544	0.2148499	0.7802323	0.6376209	0.8401002	0.9527902	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661280	0.9443919	0.0405688	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511747	0.8629349	0.2025221	0.9796720	0.6830859	0.8142227	0.9970993	0.6275565	0.1249262	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950655	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246797	0.0728100	0.9261342	0.7425970	0.4341659	0.5009233	0.6215914	0.4174521	1.0000000	0.0693214	0.8415330	0.9831130	0.1049286	0.9997402	0.0753508	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161731	1.0000000	0.0411406	0.8755837
450.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607571	0.4305766	0.2169211	0.3493648	0.8217112	0.4277599	0.7588268	0.0000005	0.2592544	0.2148500	0.7802323	0.6376209	0.8401003	0.9527902	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405687	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511747	0.8629349	0.2025221	0.9796720	0.6830859	0.8142227	0.9970993	0.6275566	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950655	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246797	0.0728100	0.9261342	0.7425971	0.4341659	0.5009233	0.6215914	0.4174521	1.0000000	0.0693214	0.8415330	0.9831129	0.1049285	0.9997402	0.0753506	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161731	1.0000000	0.0411406	0.8755837
500.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493648	0.8217112	0.4277599	0.7588268	0.0000001	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405687	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511747	0.8629349	0.2025221	0.9796720	0.6830859	0.8142227	0.9970993	0.6275566	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950654	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425972	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049284	0.9997402	0.0753505	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161731	1.0000000	0.0411406	0.8755837
550.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142227	0.9970993	0.6275566	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950654	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425972	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049284	0.9997402	0.0753504	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
600.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142227	0.9970993	0.6275566	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950654	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425972	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049284	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
650.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142227	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425972	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
700.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142226	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425972	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
750.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142226	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425972	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
800.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142226	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425973	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
850.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142226	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425973	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
900.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142226	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425973	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
950.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142226	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425973	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837
1000.0	0.4886671	0.3645368	0.9391918	0.6364421	0.1532278	0.9456707	0.8022115	0.7116887	1.0000000	0.3250331	0.5193084	0.1891047	0.2607572	0.4305766	0.2169211	0.3493649	0.8217112	0.4277599	0.7588267	0.0000000	0.2592544	0.2148500	0.7802324	0.6376209	0.8401003	0.9527903	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096342	0.2742848	0.1661281	0.9443919	0.0405686	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782204	0.8511748	0.8629349	0.2025221	0.9796720	0.6830859	0.8142226	0.9970993	0.6275567	0.1249263	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950653	0.6621142	0.3170338	0.8455700	0.0578326	0.0899956	0.4116435	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246796	0.0728100	0.9261342	0.7425973	0.4341659	0.5009234	0.6215914	0.4174521	1.0000000	0.0693214	0.8415329	0.9831129	0.1049283	0.9997402	0.0753503	0.9999987	1.0000000	1.0000000	0.0951368	0.7053549	0.1240130	0.7779654	0.8161732	1.0000000	0.0411406	0.8755837

0.0	0.4886673	0.3645364	0.9391920	0.6364418	0.1532281	0.9456709	0.8022117	0.7116910	1.0000000	0.3250331	0.5193084	0.1891042	0.2607561	0.4305751	0.2169212	0.3493644	0.8217111	0.4277607	0.7588287	0.6638896	0.2592542	0.2148471	0.7802285	0.6376243	0.8400980	0.9527802	0.4175531	0.7541070	0.0876771	0.0061388	0.3000531	0.5809376	0.9990455	0.4096338	0.2742846	0.1661206	0.9443915	0.0405817	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779076	0.9999455	0.5563902	0.3782231	0.8511747	0.8629355	0.2025213	0.9796727	0.6830868	0.8142282	0.9970994	0.6275457	0.1249248	0.0390022	0.0776563	0.9999764	0.0180699	0.1837944	0.3950792	0.6621138	0.3170337	0.8455703	0.0578326	0.0899956	0.4116441	0.0526934	0.9949376	0.4899193	0.3290448	0.0575985	0.6246899	0.0728100	0.9261351	0.7425823	0.4341659	0.5009149	0.6215911	0.4174516	1.0000000	0.0693214	0.8415401	0.9831152	0.1049522	0.9997403	0.0753888	0.9999987	1.0000000	1.0000000	0.0951371	0.7053537	0.1240132	0.7779652	0.8161693	1.0000000	0.0411406	0.8755837
50.0	0.4886672	0.3645366	0.9391919	0.6364419	0.1532280	0.9456708	0.8022116	0.7116900	1.0000000	0.3250331	0.5193084	0.1891044	0.2607565	0.4305758	0.2169212	0.3493646	0.8217111	0.4277604	0.7588279	0.6638900	0.0002771	0.2148483	0.7802301	0.6376229	0.8400990	0.9527843	0.4175532	0.7541069	0.0876773	0.0061388	0.3000533	0.5809377	0.9990455	0.4096339	0.2742847	0.1661238	0.9443916	0.0405763	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779076	0.9999455	0.5563902	0.3782220	0.8511747	0.8629353	0.2025216	0.9796724	0.6830864	0.8142259	0.9970993	0.6275502	0.1249254	0.0390022	0.0776561	0.9999764	0.0180701	0.1837943	0.3950735	0.6621140	0.3170337	0.8455702	0.0578326	0.0899956	0.4116439	0.0526934	0.9949376	0.4899193	0.3290448	0.0575985	0.6246858	0.0728100	0.9261347	0.7425883	0.4341659	0.5009184	0.6215912	0.4174518	1.0000000	0.0693214	0.8415371	0.9831143	0.1049423	0.9997402	0.0753731	0.9999987	1.0000000	1.0000000	0.0951370	0.7053542	0.1240131	0.7779652	0.8161708	1.0000000	0.0411406	0.8755837
100.0	0.4886672	0.3645367	0.9391918	0.6364420	0.1532279	0.9456708	0.8022116	0.7116895	1.0000000	0.3250331	0.5193084	0.1891045	0.2607568	0.4305761	0.2169211	0.3493647	0.8217112	0.4277602	0.7588274	0.6638902	0.0000003	0.2148490	0.7802311	0.6376220	0.8400995	0.9527868	0.4175532	0.7541068	0.0876774	0.0061388	0.3000534	0.5809377	0.9990455	0.4096340	0.2742847	0.1661256	0.9443917	0.0405731	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779076	0.9999455	0.5563901	0.3782213	0.8511747	0.8629351	0.2025218	0.9796722	0.6830862	0.8142246	0.9970993	0.6275529	0.1249258	0.0390022	0.0776561	0.9999764	0.0180701	0.1837943	0.3950701	0.6621141	0.3170338	0.8455701	0.0578326	0.0899956	0.4116437	0.0526934	0.9949376	0.4899193	0.3290448	0.0575985	0.6246833	0.0728100	0.9261345	0.7425919	0.4341659	0.5009204	0.6215913	0.4174519	1.0000000	0.0693214	0.8415354	0.9831137	0.1049365	0.9997402	0.0753638	0.9999987	1.0000000	1.0000000	0.0951369	0.7053545	0.1240130	0.7779653	0.8161718	1.0000000	0.0411406	0.8755837
150.0	0.4886671	0.3645367	0.9391918	0.6364420	0.1532279	0.9456707	0.8022115	0.7116892	1.0000000	0.3250331	0.5193084	0.1891046	0.2607569	0.4305763	0.2169211	0.3493648	0.8217112	0.4277600	0.7588271	0.6638904	0.0000000	0.2148494	0.7802316	0.6376215	0.8400998	0.9527882	0.4175533	0.7541068	0.0876774	0.0061388	0.3000535	0.5809378	0.9990455	0.4096341	0.2742848	0.1661267	0.9443918	0.0405713	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779076	0.9999455	0.5563901	0.3782210	0.8511747	0.8629350	0.2025219	0.9796721	0.6830861	0.8142238	0.9970993	0.6275545	0.1249260	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950682	0.6621141	0.3170338	0.8455700	0.0578326	0.0899956	0.4116436	0.0526934	0.9949376	0.4899193	0.3290448	0.0575985	0.6246818	0.0728100	0.9261343	0.7425941	0.4341659	0.5009217	0.6215913	0.4174520	1.0000000	0.0693214	0.8415343	0.9831134	0.1049331	0.9997402	0.0753583	0.9999987	1.0000000	1.0000000	0.0951369	0.7053546	0.1240130	0.7779653	0.8161723	1.0000000	0.0411406	0.8755837
200.0	0.4886671	0.3645368	0.9391918	0.6364420	0.1532279	0.9456707	0.8022115	0.7116890	1.0000000	0.3250331	0.5193084	0.1891047	0.2607570	0.4305765	0.2169211	0.3493648	0.8217112	0.4277600	0.7588270	0.6638905	0.0000000	0.2148496	0.7802319	0.6376213	0.8401000	0.9527891	0.4175533	0.7541067	0.0876775	0.0061388	0.3000536	0.5809378	0.9990455	0.4096341	0.2742848	0.1661273	0.9443918	0.0405702	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779077	0.9999455	0.5563901	0.3782207	0.8511747	0.8629350	0.2025220	0.9796721	0.6830860	0.8142233	0.9970993	0.6275554	0.1249261	0.0390022	0.0776560	0.9999764	0.0180702	0.1837942	0.3950670	0.6621141	0.3170338	0.8455700	0.0578326	0.0899956	0.4116436	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6246809	0.0728100	0.9261343	0.7425954	0.4341659	0.5009224	0.6215913	0.4174520	1.0000000	0.0693214	0.8415337	0.9831132	0.1049311	0.9997402	0.0753550	0.9999987	1.0000000	1.0000000	0.0951369	0.7053547	0.1240130	0.7779653	0.8161727	1.0000000	0.0411406	0.8755837
